NomeLoja;LojaCampea;EnderecoWeb;Cidade;Estrelas;Segmento;Distancia;Tempo;Frete
Amor Doce;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/amor-doce-planalto/351655ea-e8cd-4170-8e01-722d67c5bd5b;abreu-e-lima-pe;Novidade;Doces & Bolos;4.7 km;Fechado;R$ 10,00
Mestre dos Salgados;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/mestre-dos-salgados-centro/6a7c1aa6-4162-4eb5-b31a-96dbb7bc1368;abreu-e-lima-pe;-;Pizza;4.7 km;Fechado;R$ 8,99
Box China;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/box-china-planalto/f100b98e-25ea-4e9d-aad0-2bdb99c5f2fc;abreu-e-lima-pe;5.0;Chinesa;4.7 km;Fechado;R$ 9,99
Sorvetes Bacana;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sorvetes-bacana-centro/1ea9487f-3781-47fd-8f08-c615d842f102;abreu-e-lima-pe;5.0;Lanches;4.8 km;Fechado;R$ 8,99
Megacrocks;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/megacrocks-centro/fc04cffb-f71f-4807-b9fe-62156697af12;abreu-e-lima-pe;Novidade;Salgados;4.8 km;Fechado;R$ 8,99
Pink Doceria;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/pink-doceria-timbo/53d9a6d0-d20b-4c67-9fae-4db01482577a;abreu-e-lima-pe;Novidade;Doces & Bolos;4.8 km;Fechado;R$ 11,49
Delicias da Dryca;Sim;https://www.ifood.com.br/delivery/igarassu-pe/delicias-da-dryca-bela-vista/47866dba-6f77-45e1-9e6a-4bc6d4a8c5a7;igarassu-pe;4.7;Lanches;4.8 km;Fechado;R$ 11,99
La Nave Restaurante;Não;https://www.ifood.com.br/delivery/igarassu-pe/la-nave-restaurante-centro/f5936329-b622-4be0-b658-7a2b1888e6f5;igarassu-pe;Novidade;Brasileira;4.8 km;Fechado;R$ 10,00
Açaí do Amor;Não;https://www.ifood.com.br/delivery/igarassu-pe/acai-do-amor-sitio-dos-marcos/ccef5922-b018-47dd-8ee9-544ad6299321;igarassu-pe;Novidade;Açaí;4.9 km;Fechado;R$ 10,99
Império do Pastel;Não;https://www.ifood.com.br/delivery/igarassu-pe/imperio-do-pastel-centro/e3b503dd-3378-4d5f-9523-5fbdc6dd1fa5;igarassu-pe;-;Pastel;4.9 km;Fechado;R$ 9,99
Mjss Doceria e Conveniência;Não;https://www.ifood.com.br/delivery/igarassu-pe/mjss-doceria-e-conveniencia-agamenon-magalhaes/396498a9-afe1-4b26-80cd-755e3edf4130;igarassu-pe;Novidade;Doces & Bolos;4.9 km;Fechado;R$ 10,99
